,run,method,dataset,metric,value
0,PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
1,PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426
2,PSNN_wSurrGPT_wFaults_acuteinflammation_run1,wFaults,acuteinflammation,val_power,0.1939115673303604
3,PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
4,PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574
5,PSNN_wSurrGPT_woFaults_acuteinflammation_run1,woFaults,acuteinflammation,val_power,0.0017903948901221156
6,PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_acc_mode_none,0.44999998807907104
7,PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,test_acc_mode_single,0.5600000023841858
8,PSNN_wSurrGPT_woFaults_cbf_run1,woFaults,cbf,val_power,0.0013076254399493337
9,PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_acc_mode_none,0.6299999952316284
10,PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,test_acc_mode_single,0.5799999833106995
11,PSNN_wSurrGPT_wFaults_cbf_run1,wFaults,cbf,val_power,0.0018320539966225624
12,PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
13,PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426
14,PSNN_wSurrGPT_woFaults_acuteinflammation_run2,woFaults,acuteinflammation,val_power,0.00548918591812253
15,PSNN_wSurrGPT_wFaults_acuteinflammation_run2,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
16,PSNN_wSurrGPT_wFaults_acuteinflammation_run2,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426
17,PSNN_wSurrGPT_wFaults_acuteinflammation_run2,wFaults,acuteinflammation,val_power,0.028808990493416783
18,PSNN_wSurrGPT_woFaults_cbf_run2,woFaults,cbf,test_acc_mode_none,0.4300000071525574
19,PSNN_wSurrGPT_woFaults_cbf_run2,woFaults,cbf,test_acc_mode_single,0.4099999964237213
20,PSNN_wSurrGPT_woFaults_cbf_run2,woFaults,cbf,val_power,0.0016253384528681636
21,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_acc_mode_none,0.800000011920929
22,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,test_acc_mode_single,0.47999998927116394
23,PSNN_wSurrGPT_wFaults_cbf_run2,wFaults,cbf,val_power,0.0051964567974209785
24,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
25,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426
26,PSNN_wSurrGPT_woFaults_acuteinflammation_run3,woFaults,acuteinflammation,val_power,0.006541547365486622
27,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_none,0.3199999928474426
28,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,test_acc_mode_single,0.3199999928474426
29,PSNN_wSurrGPT_wFaults_acuteinflammation_run3,wFaults,acuteinflammation,val_power,0.002008403418585658
30,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_none,0.6100000143051147
31,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,test_acc_mode_single,0.5699999928474426
32,PSNN_wSurrGPT_woFaults_cbf_run3,woFaults,cbf,val_power,0.0010557257337495685
33,PSNN_wSurrGPT_wFaults_cbf_run3,wFaults,cbf,test_acc_mode_none,0.7200000286102295
